23 三月 2015 | 16:20:21,829 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 8, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13776 }
23 三月 2015 | 16:20:21,829 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:20:21,830 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 6, Priv: 0, Sess: 127.0.0.1:13776 ) , SessionLen: 1348, Type: C#MonoOrWin
23 三月 2015 | 16:20:21,830 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 7, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13777 }
23 三月 2015 | 16:20:21,830 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 7, Priv: 0, Sess: 127.0.0.1:13777 ) , SessionLen: 1347, Type: C#MonoOrWin
23 三月 2015 | 16:20:21,830 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:21:04,976 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 9, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13791 } on Server linkPort: 9934 <---> 13791
23 三月 2015 | 16:21:04,976 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 10, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13792 } on Server linkPort: 9934 <---> 13792
23 三月 2015 | 16:21:05,132 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 8, Priv: 0, Sess: 127.0.0.1:13792 ) , Type: C#MonoOrWin
23 三月 2015 | 16:21:05,138 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 9, Priv: 0, Sess: 127.0.0.1:13791 ) , Type: C#MonoOrWin
23 三月 2015 | 16:21:05,435 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:21:05,438 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:21:06,967 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 10, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13792 }
23 三月 2015 | 16:21:06,967 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 8, Priv: 0, Sess: 127.0.0.1:13792 ) , SessionLen: 1835, Type: C#MonoOrWin
23 三月 2015 | 16:21:06,967 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:21:06,968 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 9, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13791 }
23 三月 2015 | 16:21:06,968 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 9, Priv: 0, Sess: 127.0.0.1:13791 ) , SessionLen: 1830, Type: C#MonoOrWin
23 三月 2015 | 16:21:06,968 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:21:10,524 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 11, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13797 } on Server linkPort: 9934 <---> 13797
23 三月 2015 | 16:21:10,524 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 12, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13798 } on Server linkPort: 9934 <---> 13798
23 三月 2015 | 16:21:10,625 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 10, Priv: 0, Sess: 127.0.0.1:13797 ) , Type: C#MonoOrWin
23 三月 2015 | 16:21:10,631 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 11, Priv: 0, Sess: 127.0.0.1:13798 ) , Type: C#MonoOrWin
23 三月 2015 | 16:21:10,927 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:21:10,931 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:21:11,717 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 11, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13797 }
23 三月 2015 | 16:21:11,718 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:21:11,718 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 10, Priv: 0, Sess: 127.0.0.1:13797 ) , SessionLen: 1093, Type: C#MonoOrWin
23 三月 2015 | 16:21:11,718 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 12, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13798 }
23 三月 2015 | 16:21:11,719 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:21:11,719 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 11, Priv: 0, Sess: 127.0.0.1:13798 ) , SessionLen: 1088, Type: C#MonoOrWin
23 三月 2015 | 16:21:15,250 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 13, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13802 } on Server linkPort: 9934 <---> 13802
23 三月 2015 | 16:21:15,255 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 14, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13801 } on Server linkPort: 9934 <---> 13801
23 三月 2015 | 16:21:15,361 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 12, Priv: 0, Sess: 127.0.0.1:13802 ) , Type: C#MonoOrWin
23 三月 2015 | 16:21:15,362 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 13, Priv: 0, Sess: 127.0.0.1:13801 ) , Type: C#MonoOrWin
23 三月 2015 | 16:21:15,661 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:21:15,665 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:21:16,447 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 13, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13802 }
23 三月 2015 | 16:21:16,448 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 12, Priv: 0, Sess: 127.0.0.1:13802 ) , SessionLen: 1087, Type: C#MonoOrWin
23 三月 2015 | 16:21:16,448 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:21:16,453 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 14, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13801 }
